name,description,styleUrl,icon-opacity,icon-color,icon-scale,icon,COORDENADAS,BRBM,MUNICÍPIO,SITUAÇÃO,INFORMAÇÕES,OK BRBM,CAMINHÕES,VEÍCULO DE EMERGÊNCIA,VEICULOS LEVES,/,AJUDA HUMANITÁRIA,icon-offset,icon-offset-units
"ERS 403, km 01","{""@type"":""html"",""value"":""COORDENADAS: -29.976236432689195, -52.38075136739796<br>BRBM: 2º<br>MUNICÍPIO: Rio Pardo<br>SITUAÇÃO: Bloqueio Total<br>INFORMAÇÕES: Pista submersa<br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: FALSE<br>VEICULOS LEVES: FALSE<br>/: 02/05/2024<br>AJUDA HUMANITÁRIA: FALSE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.976236432689195, -52.38075136739796",2º,Rio Pardo,Bloqueio Total,Pista submersa,TRUE,FALSE,FALSE,FALSE,02/05/2024,FALSE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 403, km 54","{""@type"":""html"",""value"":""COORDENADAS: -29.973432582681816, -52.84209258601191<br>BRBM: 2º<br>MUNICÍPIO: Cachoeira do Sul<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 30/04/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.973432582681816, -52.84209258601191",2º,Cachoeira do Sul,Liberado,,TRUE,TRUE,TRUE,TRUE,30/04/2024,TRUE,,
"ERS 409, km 12","{""@type"":""html"",""value"":""COORDENADAS: -29.730681358446866, -52.46090861204161<br>BRBM: 2º<br>MUNICÍPIO: Santa Cruz do Sul<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 13/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.730681358446866, -52.46090861204161",2º,Santa Cruz do Sul,Liberado,,TRUE,TRUE,TRUE,TRUE,13/05/2024,TRUE,,
"ERS 412, km 13","{""@type"":""html"",""value"":""COORDENADAS: -29.778476837437438, -52.469409570734015<br>BRBM: 2º<br>MUNICÍPIO: Santa Cruz do Sul<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 30/04/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.778476837437438, -52.469409570734015",2º,Santa Cruz do Sul,Liberado,,TRUE,TRUE,TRUE,TRUE,30/04/2024,TRUE,,
"ERS 418, km 19","{""@type"":""html"",""value"":""COORDENADAS: -29.581447996917554, -52.37417115646461<br>BRBM: 2º<br>MUNICÍPIO: Santa Cruz do Sul<br>SITUAÇÃO: Bloqueio Parcial<br>INFORMAÇÕES: Rachaduras no asfalto<br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: FALSE<br>/: 01/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.581447996917554, -52.37417115646461",2º,Santa Cruz do Sul,Bloqueio Parcial,Rachaduras no asfalto,TRUE,FALSE,TRUE,FALSE,01/05/2024,TRUE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 419, km 07","{""@type"":""html"",""value"":""COORDENADAS: -29.462225263626515, -51.743820645847066<br>BRBM: 2º<br>MUNICÍPIO: Teutonia<br>SITUAÇÃO: Bloqueio Parcial<br>INFORMAÇÕES: Deslizamento de Terra <br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 02/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.462225263626515, -51.743820645847066",2º,Teutonia,Bloqueio Parcial,Deslizamento de Terra ,TRUE,FALSE,TRUE,TRUE,02/05/2024,TRUE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 419, km 08","{""@type"":""html"",""value"":""COORDENADAS: -29.45498,-51.70950<br>BRBM: 2º<br>MUNICÍPIO: Poco das Antas<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 13/05/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.45498,-51.70950",2º,Poco das Antas,Liberado,,TRUE,TRUE,TRUE,TRUE,13/05/2024,TRUE,,
"ERS 419, km 11","{""@type"":""html"",""value"":""COORDENADAS: -29.458510891263707, -51.69966002051778<br>BRBM: 2º<br>MUNICÍPIO: Teutonia<br>SITUAÇÃO: Bloqueio Total<br>INFORMAÇÕES: Pista Submersa<br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: FALSE<br>VEICULOS LEVES: FALSE<br>/: 12/05/2024<br>AJUDA HUMANITÁRIA: FALSE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.458510891263707, -51.69966002051778",2º,Teutonia,Bloqueio Total,Pista Submersa,TRUE,FALSE,FALSE,FALSE,12/05/2024,FALSE,"[32,64]","[""pixels"",""insetPixels""]"
"ERS 421, km 18","{""@type"":""html"",""value"":""COORDENADAS: -29.407223715893412, -52.1424764063141<br>BRBM: 2º<br>MUNICÍPIO: Forquetinha<br>SITUAÇÃO: Liberado<br>INFORMAÇÕES: <br>OK BRBM: TRUE<br>CAMINHÕES: TRUE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 29/04/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1739-0F9D58,1,#0f9d58,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.407223715893412, -52.1424764063141",2º,Forquetinha,Liberado,,TRUE,TRUE,TRUE,TRUE,29/04/2024,TRUE,,
"ERS 422, km 64","{""@type"":""html"",""value"":""COORDENADAS: -29.46506269072268, -52.286930006445836<br>BRBM: 2º<br>MUNICÍPIO: Venancio Aires<br>SITUAÇÃO: Bloqueio Parcial<br>INFORMAÇÕES: Queda de barreira<br>OK BRBM: TRUE<br>CAMINHÕES: FALSE<br>VEÍCULO DE EMERGÊNCIA: TRUE<br>VEICULOS LEVES: TRUE<br>/: 29/04/2024<br>AJUDA HUMANITÁRIA: TRUE""}",#icon-1899-DB4436,1,#db4436,1,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,"-29.46506269072268, -52.286930006445836",2º,Venancio Aires,Bloqueio Parcial,Queda de barreira,TRUE,FALSE,TRUE,TRUE,29/04/2024,TRUE,"[32,64]","[""pixels"",""insetPixels""]"
